id;title;view_counter;publish_time;difficulty;season/0;season/1;season/2;season/3;categories/0/name;sankelandskaber/0/id;sankelandskaber/0/title;sankelandskaber/0/sub_biotope_question;sankelandskaber/0/characteristic_question;sankelandskaber/0/color;sankelandskaber/0/profile_image/src;sankelandskaber/0/profile_image/id;sankelandskaber/0/sub_biotopes/0/id;sankelandskaber/0/sub_biotopes/0/title;sankelandskaber/0/sub_biotopes/1/id;sankelandskaber/0/sub_biotopes/1/title;sankelandskaber/1/id;sankelandskaber/1/title;sankelandskaber/1/sub_biotope_question;sankelandskaber/1/characteristic_question;sankelandskaber/1/color;sankelandskaber/1/profile_image/src;sankelandskaber/1/profile_image/id;sankelandskaber/1/sub_biotopes/0/id;sankelandskaber/1/sub_biotopes/0/title;sankelandskaber/1/sub_biotopes/1/id;sankelandskaber/1/sub_biotopes/1/title;profile_image/src;profile_image/id;season/4;season/5;sankelandskaber/2/id;sankelandskaber/2/title;sankelandskaber/2/sub_biotope_question;sankelandskaber/2/characteristic_question;sankelandskaber/2/color;sankelandskaber/2/profile_image/src;sankelandskaber/2/profile_image/id;sankelandskaber/2/sub_biotopes/0/id;sankelandskaber/2/sub_biotopes/0/title;sankelandskaber/2/sub_biotopes/1/id;sankelandskaber/2/sub_biotopes/1/title;sankelandskaber/2/biotope_characteristic/0/id;sankelandskaber/2/biotope_characteristic/0/title;sankelandskaber/2/biotope_characteristic/1/id;sankelandskaber/2/biotope_characteristic/1/title;season/6;season/7;sankelandskaber/0/biotope_characteristic/0/id;sankelandskaber/0/biotope_characteristic/0/title;sankelandskaber/0/biotope_characteristic/1/id;sankelandskaber/0/biotope_characteristic/1/title;sankelandskaber/3/id;sankelandskaber/3/title;sankelandskaber/3/sub_biotope_question;sankelandskaber/3/characteristic_question;sankelandskaber/3/color;sankelandskaber/3/profile_image/src;sankelandskaber/3/profile_image/id;sankelandskaber/3/sub_biotopes/0/id;sankelandskaber/3/sub_biotopes/0/title;sankelandskaber/3/sub_biotopes/1/id;sankelandskaber/3/sub_biotopes/1/title;sankelandskaber/1/biotope_characteristic/0/id;sankelandskaber/1/biotope_characteristic/0/title;sankelandskaber/1/biotope_characteristic/1/id;sankelandskaber/1/biotope_characteristic/1/title;sankelandskaber/4/id;sankelandskaber/4/title;sankelandskaber/4/sub_biotope_question;sankelandskaber/4/characteristic_question;sankelandskaber/4/color;sankelandskaber/4/profile_image/src;sankelandskaber/4/profile_image/id;sankelandskaber/4/sub_biotopes/0/id;sankelandskaber/4/sub_biotopes/0/title;sankelandskaber/4/sub_biotopes/1/id;sankelandskaber/4/sub_biotopes/1/title;sankelandskaber/5/id;sankelandskaber/5/title;sankelandskaber/5/sub_biotope_question;sankelandskaber/5/characteristic_question;sankelandskaber/5/color;sankelandskaber/5/profile_image/src;sankelandskaber/5/profile_image/id;sankelandskaber/5/sub_biotopes/0/id;sankelandskaber/5/sub_biotopes/0/title;sankelandskaber/5/sub_biotopes/1/id;sankelandskaber/5/sub_biotopes/1/title;sankelandskaber/6/id;sankelandskaber/6/title;sankelandskaber/6/sub_biotope_question;sankelandskaber/6/characteristic_question;sankelandskaber/6/color;sankelandskaber/6/profile_image/src;sankelandskaber/6/profile_image/id;sankelandskaber/6/sub_biotopes/0/id;sankelandskaber/6/sub_biotopes/0/title;sankelandskaber/6/sub_biotopes/1/id;sankelandskaber/6/sub_biotopes/1/title;sankelandskaber/3/biotope_characteristic/0/id;sankelandskaber/3/biotope_characteristic/0/title;sankelandskaber/3/biotope_characteristic/1/id;sankelandskaber/3/biotope_characteristic/1/title;season/8;season/9;season/10;season/11;sankelandskaber/7/id;sankelandskaber/7/title;sankelandskaber/7/sub_biotope_question;sankelandskaber/7/characteristic_question;sankelandskaber/7/color;sankelandskaber/7/profile_image/src;sankelandskaber/7/profile_image/id;sankelandskaber/7/sub_biotopes/0/id;sankelandskaber/7/sub_biotopes/0/title;sankelandskaber/7/sub_biotopes/1/id;sankelandskaber/7/sub_biotopes/1/title;sankelandskaber/4/biotope_characteristic/0/id;sankelandskaber/4/biotope_characteristic/0/title;sankelandskaber/4/biotope_characteristic/1/id;sankelandskaber/4/biotope_characteristic/1/title;categories/1/name;categories/1/info
337;Angelica;1599;1626079233;;2;3;4;5;Herbs and smaller plants;174;Beach;How is the nature of the beach?;;#4171BB;https://vildmadv2.vps.webdock.io/application/files/7016/2201/2308/Vildmad_BT_Strand_01_1.jpg;5405;1973;Sandy beach;1974;Stone beach;171;Beach meadow;What is the nature of the soil on the salt meadow?;;#4171BB;https://vildmadv2.vps.webdock.io/application/files/7314/9812/2525/Vildmad_BT_Strandeng_24.jpg;1823;1948;Wet;1949;Dry;https://vildmadv2.vps.webdock.io/application/files/8416/2445/4958/Kvan_ravarkort_app.png;5499;6;7;;;;;;;;;;;;;;;;8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
339;Spiral wrack;478;1626079298;;2;3;4;;;174;Beach;How is the nature of the beach?;;#4171BB;https://vildmadv2.vps.webdock.io/application/files/7016/2201/2308/Vildmad_BT_Strand_01_1.jpg;5405;1973;Sandy beach;1974;Stone beach;181;Town;Where are you in the cityscape?;;#4B3C67;https://vildmadv2.vps.webdock.io/application/files/9414/9812/0663/VILDMAD_BT_BY_03-squashed.jpg;1783;1992;Park/garden;1993;Coast/port;https://vildmadv2.vps.webdock.io/application/files/5216/2445/6538/Lav_klortang_ravarekort_app.png;5503;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
934;Elderflower;2304;1642498279;;5;;;;Blomster;171;Beach meadow;What is the nature of the soil on the salt meadow?;;#4171BB;https://vildmadv2.vps.webdock.io/application/files/7314/9812/2525/Vildmad_BT_Strandeng_24.jpg;1823;1948;Wet;1949;Dry;176;Fence;How is the fence?;;#FEC21C;https://vildmadv2.vps.webdock.io/application/files/2114/9036/4146/hegn.jpg;365;1975;Densely overgrown;1976;Open;https://vildmadv2.vps.webdock.io/application/files/5116/2437/3339/Hyld_ravarkort_app.png;5484;;;179;Løvskov;Hvordan er jordens karakter i skoven?;Hvordan er skovbunden?;#009748;https://vildmadv2.vps.webdock.io/application/files/1016/2089/8647/VILDMAD_BT_Lovskov_08.jpg;5383;1981;Morbund;1982;Mulbund;;;;;;;;;;;180;Nåleskov;Hvordan er jordens karakter i skoven?;Hvordan er skovbunden?;#009748;https://vildmadv2.vps.webdock.io/application/files/6214/9036/4694/naaleskov.jpg;409;1987;Morbund;1988;Mulbund;2017;Kystnært;2018;Indland;181;By;Hvor er du i byens landskab?;;#4B3C67;https://vildmadv2.vps.webdock.io/application/files/9414/9812/0663/VILDMAD_BT_BY_03-squashed.jpg;1783;1992;Park/have;1993;Kyst/havn;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
380;Wood sorrel;3074;1626080873;;2;3;4;5;Herbs and smaller plants;171;Beach meadow;What is the nature of the soil on the salt meadow?;;#4171BB;https://vildmadv2.vps.webdock.io/application/files/7314/9812/2525/Vildmad_BT_Strandeng_24.jpg;1823;1948;Wet;1949;Dry;176;Fence;How is the fence?;;#FEC21C;https://vildmadv2.vps.webdock.io/application/files/2114/9036/4146/hegn.jpg;365;1975;Densely overgrown;1976;Open;https://vildmadv2.vps.webdock.io/application/files/9416/2451/7486/Skovlog_ravarekort_app_1.png;5547;6;7;177;Grøftekant;Hvordan er grøftekantens beskaffenhed?;;#FEC21C;https://vildmadv2.vps.webdock.io/application/files/4616/2089/7447/VILDMAD_BT_Groftekant_05.jpg;5379;1977;Næringsfattig;1978;Næringsrig;;;;;8;9;;;;;178;Græsland;Hvordan er græslandet?;;#FEC21C;https://vildmadv2.vps.webdock.io/application/files/7916/2089/7481/Vildmad_BT_Gresland_09.jpg;5381;1979;Næringsfattig;1980;Næringsrig;2017;Kystnært;2018;Indland;179;Løvskov;Hvordan er jordens karakter i skoven?;Hvordan er skovbunden?;#009748;https://vildmadv2.vps.webdock.io/application/files/1016/2089/8647/VILDMAD_BT_Lovskov_08.jpg;5383;1981;Morbund;1982;Mulbund;180;Nåleskov;Hvordan er jordens karakter i skoven?;Hvordan er skovbunden?;#009748;https://vildmadv2.vps.webdock.io/application/files/6214/9036/4694/naaleskov.jpg;409;1987;Morbund;1988;Mulbund;181;By;Hvor er du i byens landskab?;;#4B3C67;https://vildmadv2.vps.webdock.io/application/files/9414/9812/0663/VILDMAD_BT_BY_03-squashed.jpg;1783;1992;Park/have;1993;Kyst/havn;;;;;;;;;;;;;;;;;;;;;;;;;
374;Crab apple;1168;1626080695;;8;9;;;Shrubs and trees;180;Coniferous forest;What is the nature of the soil in the forest?;What is the forest floor like?;#009748;https://vildmadv2.vps.webdock.io/application/files/6214/9036/4694/naaleskov.jpg;409;1987;Morbund;1988;Mulbund;179;Deciduous forest;What is the nature of the soil in the forest?;What is the forest floor like?;#009748;https://vildmadv2.vps.webdock.io/application/files/1016/2089/8647/VILDMAD_BT_Lovskov_08.jpg;5383;1981;Morbund;1982;Mulbund;https://vildmadv2.vps.webdock.io/application/files/7816/2451/6075/Skovaeble_ravarekort_app.png;5538;;;181;By;Hvor er du i byens landskab?;;#4B3C67;https://vildmadv2.vps.webdock.io/application/files/9414/9812/0663/VILDMAD_BT_BY_03-squashed.jpg;1783;1992;Park/have;1993;Kyst/havn;;;;;;;;;;;176;Hegn;Hvordan er hegnet?;;#FEC21C;https://vildmadv2.vps.webdock.io/application/files/2114/9036/4146/hegn.jpg;365;1975;Tæt bevokset;1976;Åbent;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2017;Kystnært;2018;Indland;;;;;;;;;;;;;;;;;;;;;
376;Scots pine;577;1626080803;;4;;;;Shrubs and trees;180;Coniferous forest;What is the nature of the soil in the forest?;What is the forest floor like?;#009748;https://vildmadv2.vps.webdock.io/application/files/6214/9036/4694/naaleskov.jpg;409;1987;Morbund;1988;Mulbund;;;;;;;;;;;;https://vildmadv2.vps.webdock.io/application/files/2916/2451/6290/Skovfyr_ravarekort_app.png;5540;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
303;Deadnettle;1866;1626076930;;3;4;5;6;Herbs and smaller plants;179;Deciduous forest;What is the nature of the soil in the forest?;What is the forest floor like?;#009748;https://vildmadv2.vps.webdock.io/application/files/1016/2089/8647/VILDMAD_BT_Lovskov_08.jpg;5383;1981;Morbund;1982;Mulbund;180;Coniferous forest;What is the nature of the soil in the forest?;What is the forest floor like?;#009748;https://vildmadv2.vps.webdock.io/application/files/6214/9036/4694/naaleskov.jpg;409;1987;Morbund;1988;Mulbund;https://vildmadv2.vps.webdock.io/application/files/3016/2099/6215/Dovnaelde_ravarkort_ravare.png;5392;;;181;By;Hvor er du i byens landskab?;;#4B3C67;https://vildmadv2.vps.webdock.io/application/files/9414/9812/0663/VILDMAD_BT_BY_03-squashed.jpg;1783;1992;Park/have;1993;Kyst/havn;;;;;;;;;;;176;Hegn;Hvordan er hegnet?;;#FEC21C;https://vildmadv2.vps.webdock.io/application/files/2114/9036/4146/hegn.jpg;365;1975;Tæt bevokset;1976;Åbent;;;;;177;Grøftekant;Hvordan er grøftekantens beskaffenhed?;;#FEC21C;https://vildmadv2.vps.webdock.io/application/files/4616/2089/7447/VILDMAD_BT_Groftekant_05.jpg;5379;1977;Næringsfattig;1978;Næringsrig;178;Græsland;Hvordan er græslandet?;;#FEC21C;https://vildmadv2.vps.webdock.io/application/files/7916/2089/7481/Vildmad_BT_Gresland_09.jpg;5381;1979;Næringsfattig;1980;Næringsrig;171;Strandeng;Hvordan er jordens karakter på strandengen?;;#4171BB;https://vildmadv2.vps.webdock.io/application/files/7314/9812/2525/Vildmad_BT_Strandeng_24.jpg;1823;1948;Våd;1949;Tør;2017;Kystnært;2018;Indland;;;;;;;;;;;;;;;;;;;;;
323;Hop;1093;1626078433;;3;4;8;;Herbs and smaller plants;179;Deciduous forest;What is the nature of the soil in the forest?;What is the forest floor like?;#009748;https://vildmadv2.vps.webdock.io/application/files/1016/2089/8647/VILDMAD_BT_Lovskov_08.jpg;5383;1981;Morbund;1982;Mulbund;180;Coniferous forest;What is the nature of the soil in the forest?;What is the forest floor like?;#009748;https://vildmadv2.vps.webdock.io/application/files/6214/9036/4694/naaleskov.jpg;409;1987;Morbund;1988;Mulbund;https://vildmadv2.vps.webdock.io/application/files/5516/2437/2955/Humle_ravarkort_app.png;5481;;;181;By;Hvor er du i byens landskab?;;#4B3C67;https://vildmadv2.vps.webdock.io/application/files/9414/9812/0663/VILDMAD_BT_BY_03-squashed.jpg;1783;1992;Park/have;1993;Kyst/havn;;;;;;;;;;;176;Hegn;Hvordan er hegnet?;;#FEC21C;https://vildmadv2.vps.webdock.io/application/files/2114/9036/4146/hegn.jpg;365;1975;Tæt bevokset;1976;Åbent;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2017;Kystnært;2018;Indland;;;;;;;;;;;;;;;;;;;;;
336;Bachelor's button;1196;1626079149;;5;6;7;;Herbs and smaller plants;179;Deciduous forest;What is the nature of the soil in the forest?;What is the forest floor like?;#009748;https://vildmadv2.vps.webdock.io/application/files/1016/2089/8647/VILDMAD_BT_Lovskov_08.jpg;5383;1981;Morbund;1982;Mulbund;180;Coniferous forest;What is the nature of the soil in the forest?;What is the forest floor like?;#009748;https://vildmadv2.vps.webdock.io/application/files/6214/9036/4694/naaleskov.jpg;409;1987;Morbund;1988;Mulbund;https://vildmadv2.vps.webdock.io/application/files/6816/2445/4749/Korsnap_ravarkort_app.png;5496;;;181;By;Hvor er du i byens landskab?;;#4B3C67;https://vildmadv2.vps.webdock.io/application/files/9414/9812/0663/VILDMAD_BT_BY_03-squashed.jpg;1783;1992;Park/have;1993;Kyst/havn;;;;;;;;;;;176;Hegn;Hvordan er hegnet?;;#FEC21C;https://vildmadv2.vps.webdock.io/application/files/2114/9036/4146/hegn.jpg;365;1975;Tæt bevokset;1976;Åbent;;;;;177;Grøftekant;Hvordan er grøftekantens beskaffenhed?;;#FEC21C;https://vildmadv2.vps.webdock.io/application/files/4616/2089/7447/VILDMAD_BT_Groftekant_05.jpg;5379;1977;Næringsfattig;1978;Næringsrig;178;Græsland;Hvordan er græslandet?;;#FEC21C;https://vildmadv2.vps.webdock.io/application/files/7916/2089/7481/Vildmad_BT_Gresland_09.jpg;5381;1979;Næringsfattig;1980;Næringsrig;;;;;;;;;;;;2017;Kystnært;2018;Indland;;;;;;;;;;;;;;;;;;;;;
429;March violet;1088;1626165834;;3;;;;Herbs and smaller plants;179;Deciduous forest;What is the nature of the soil in the forest?;What is the forest floor like?;#009748;https://vildmadv2.vps.webdock.io/application/files/1016/2089/8647/VILDMAD_BT_Lovskov_08.jpg;5383;1981;Morbund;1982;Mulbund;176;Fence;How is the fence?;;#FEC21C;https://vildmadv2.vps.webdock.io/application/files/2114/9036/4146/hegn.jpg;365;1975;Densely overgrown;1976;Open;https://vildmadv2.vps.webdock.io/application/files/1916/2452/7377/Viol_ravarekort_app.png;5597;;;177;Grøftekant;Hvordan er grøftekantens beskaffenhed?;;#FEC21C;https://vildmadv2.vps.webdock.io/application/files/4616/2089/7447/VILDMAD_BT_Groftekant_05.jpg;5379;1977;Næringsfattig;1978;Næringsrig;;;;;;;;;;;178;Græsland;Hvordan er græslandet?;;#FEC21C;https://vildmadv2.vps.webdock.io/application/files/7916/2089/7481/Vildmad_BT_Gresland_09.jpg;5381;1979;Næringsfattig;1980;Næringsrig;2017;Kystnært;2018;Indland;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
